Code	N°	English Name	Nom français	Alias	Age	Date	In langtags	Region	Lang	Notes	WSTech	NLCI	Microsoft	Other	Noto Sans	Noto Serif	WSTech
fonipa		Phonetic (IPA)	Phonétique (API)	fonipa							Charis SIL			Doulos SIL			
Adlm	166	Adlam	adlam	Adlam	9	12/5/2016	y						Ebrima		NotoSansAdlam		
Afak	439	Afaka	afaka			12/21/2010	y										
Aghb	239	Caucasian Albanian	aghbanien	Caucasian_Albanian	7	11/15/2014									NotoSansCaucasianAlbanian		
Ahom	338	Ahom, Tai Ahom	âhom	Ahom	8	7/7/2015	y									NotoSerifAhom	
Arab							y	CM, GN, SN, NG, NE			Harmattan						
Arab							y	PK			Awami Nastaliq						
Arab	160	Arabic	arabe	Arabic	1.1	5/1/2004	y				Scheherazade				NotoSansArabic		
Aran	161	Arabic (Nastaliq variant)	arabe (variante nastalique)		1.1	11/15/2014					Awami Nastaliq					NotoNastaliqUrdu	
Armi	124	Imperial Aramaic	araméen impérial	Imperial_Aramaic	5.2	6/1/2009	y								NotoSansImperialAramaic		
Armn	230	Armenian	arménien	Armenian	1.1	5/1/2004	y								NotoSansArmenian	NotoSerifArmenian	
Avst	134	Avestan	avestique	Avestan	5.2	6/1/2009	y								NotoSansAvestan		
Bali	360	Balinese	balinais	Balinese	5	10/10/2006	y								NotoSansBalinese		
Bamu	435	Bamum	bamoum	Bamum	5.2	6/1/2009	y								NotoSansBamum		
Bass	259	Bassa Vah	bassa	Bassa_Vah	7	11/15/2014	y								NotoSansBassaVah		
Batk	365	Batak	batik	Batak	6	7/23/2010	y								NotoSansBatak		
Beng	325	Bengali (Bangla)	bengalî (bangla)	Bengali	1.1	12/5/2016	y								NotoSansBengali	NotoSerifBengali	
Bhks	334	Bhaiksuki	bhaïksukî	Bhaiksuki	9	12/5/2016									NotoSansBhaiksuki		
Blis	550	Blissymbols	symboles Bliss			5/1/2004	y										
Bopo	285	Bopomofo	bopomofo	Bopomofo	1.1	5/1/2004	y										
Brah	300	Brahmi	brahma	Brahmi	6	7/23/2010	y								NotoSansBrahmi		
Brai	570	Braille	braille	Braille	3	5/1/2004	y										
Bugi	367	Buginese	bouguis	Buginese	4.1	6/21/2006	y								NotoSansBuginese		
Buhd	372	Buhid	bouhide	Buhid	3.2	5/1/2004	y								NotoSansBuhid		
Cakm	349	Chakma	chakma	Chakma	6.1	2/6/2012	y								NotoSansChakma		
Cans	440	Unified Canadian Aboriginal Syllabics	syllabaire autochtone canadien unifié	Canadian_Aboriginal	3	5/29/2004	y								NotoSansCanadianAboriginal		
Cari	201	Carian	carien	Carian	5.1	7/2/2007	y								NotoSansCarian		
Cham	358	Cham	cham (čam, tcham)	Cham	5.1	11/11/2009	y								NotoSansCham		
Cher	445	Cherokee	tchérokî	Cherokee	3	5/1/2004	y								NotoSansCherokee		
Cirt	291	Cirth	cirth			5/1/2004											
Copt	204	Coptic	copte	Coptic	4.1	6/21/2006	y								NotoSansCoptic		Sophia Nubian
Cpmn	402	Cypro-Minoan	syllabaire chypro-minoen			7/26/2017											
Cprt	403	Cypriot syllabary	syllabaire chypriote	Cypriot	4	7/26/2017	y								NotoSansCypriot		
Cyrl	220	Cyrillic	cyrillique	Cyrillic	1.1	5/1/2004	y				Charis SIL				NotoSansLatin	NotoSerifLatin	
Cyrs	221	Cyrillic (Old Church Slavonic variant)	cyrillique (variante slavonne)		1.1	5/1/2004	y										
Deva	315	Devanagari (Nagari)	dévanâgarî	Devanagari	1.1	5/1/2004	y				Annapurna SIL				NotoSansDevanagari	NotoSerifDevanagari	
Dogr	328	Dogra	dogra	Dogra	11	12/5/2016											
Dsrt	250	Deseret (Mormon)	déseret (mormon)	Deseret	3.1	5/1/2004	y								NotoSansDeseret		
Dupl	755	Duployan shorthand, Duployan stenography	sténographie Duployé	Duployan	7	11/15/2014									NotoSansDuployan		
Egyd	70	Egyptian demotic	démotique égyptien			5/1/2004											
Egyh	60	Egyptian hieratic	hiératique égyptien		5.2	5/1/2004											
Egyp	50	Egyptian hieroglyphs	hiéroglyphes égyptiens	Egyptian_Hieroglyphs	5.2	6/1/2009	y								NotoSansEgyptianHieroglyphs		
Elba	226	Elbasan	elbasan	Elbasan	7	11/15/2014	y								NotoSansElbasan		
Elym	128	Elymaic	élymaïque	Elymaic	12	8/26/2018	y										
Ethi	430	Ethiopic (Geʻez)	éthiopien (geʻez, guèze)	Ethiopic	3	10/25/2004	y				Abyssinica SIL				NotoSansEthiopic	NotoSerifEthiopic	
Geok	241	Khutsuri (Asomtavruli and Nuskhuri)	khoutsouri (assomtavrouli et nouskhouri)	Georgian	1.1	10/16/2012	y										
Geor	240	Georgian (Mkhedruli and Mtavruli)	géorgien (mkhédrouli et mtavrouli)	Georgian	1.1	12/5/2016	y								NotoSansGeorgian	NotoSerifGeorgian	
Glag	225	Glagolitic	glagolitique	Glagolitic	4.1	6/21/2006	y								NotoSansGlagolitic		
Gong	312	Gunjala Gondi	gunjala gondî	Gunjala_Gondi	11	12/5/2016					Narnoor						
Gonm	313	Masaram Gondi	masaram gondî	Masaram_Gondi	10	7/26/2017											
Goth	206	Gothic	gotique	Gothic	3.1	5/1/2004	y								NotoSansGothic		
Gran	343	Grantha	grantha	Grantha	7	11/15/2014	y								NotoSansGrantha		
Grek	200	Greek	grec	Greek	1.1	5/1/2004	y				Gentium Plus				NotoSansLatin	NotoSerifLatin	
